Cyber Resilience Assessment Framework (C-RAF) 2.0 Control Principle,,,,,
,,,,,
REF,Domain,Component,Sub-component,Maturity Level,Control Principle
458,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Intermediate,Network and systems have been set up to deny network communications traffic by default and allow network communications traffic by exception.
459,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Advanced,User outbound traffic is routed through predefined network choke-points (e.g. web proxy) with traffic limited to certain trusted domains (e.g. whitelisting).
460,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Advanced,"Inbound traffic is protected by network security devices on a risk-based approach (e.g. web application firewall, intrusion prevention system, etc.)."
461,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Advanced,There is a centralised console or interface to monitor and manage the proxy servers.
462,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Advanced,The AI has arrangements in place with third-party service providers to ensure information systems with external connections can failover safely and securely.
463,Domain 7 Third party risk management,7.1 External connections,7.1.2 Protect,Advanced,The AI adopts boundary protection mechanisms such as isolation and segregation of internal networks supporting different business functions.
464,Domain 7 Third party risk management,7.2 Third-party management,7.2.1 Contract management,Baseline,"Formal contracts that address relevant security and privacy requirements are in place for third parties that are network-connected and that process, store, or transmit sensitive or critical AI data."
465,Domain 7 Third party risk management,7.2 Third-party management,7.2.1 Contract management,Baseline,"Contracts acknowledge that the third-party is responsible for the security and privacy of the sensitive or critical AI data that it stores, processes, or transmits over secure connections."
466,Domain 7 Third party risk management,7.2 Third-party management,7.2.1 Contract management,Baseline,"Contracts identify the recourse available to the institution should the third-party that is network-connected and processes, stores, or transmits sensitive or critical AI data fail to meet defined security requirements."
467,Domain 7 Third party risk management,7.2 Third-party management,7.2.1 Contract management,Baseline,Contracts establish responsibilities for responding to security incidents.
468,Domain 7 Third party risk management,7.2 Third-party management,7.2.1 Contract management,Baseline,Contracts specify the security requirements for the return or destruction of AI’s sensitive or critical data upon contract termination.
469,Domain 7 Third party risk management,7.2 Third-party management,7.2.1 Contract management,Intermediate,"Responsibility for the notification of cybersecurity incidents and vulnerabilities by third parties that are network-connected and process, store or transmit sensitive or critical AI data, is documented in contracts or service-level agreements."
470,Domain 7 Third party risk management,7.2 Third-party management,7.2.1 Contract management,Advanced,"A termination/exit strategy has been established for third parties that are network-connected and process, store or transmit sensitive or critical AI data."
471,Domain 7 Third party risk management,7.2 Third-party management,7.2.1 Contract management,Advanced,"The termination/exit strategy is regularly tested, with high- and medium-risk items and their associated risk treatment approach tabled to management for endorsement."
472,Domain 7 Third party risk management,7.2 Third-party management,7.2.2 Due diligence,Baseline,"Before contracts are signed, risk-based due diligence on cybersecurity control is performed on prospective third parties that will be network-connected and will process, store and transmit sensitive or critical AI data."
473,Domain 7 Third party risk management,7.2 Third-party management,7.2.2 Due diligence,Baseline,"A list of third parties that are network-connected and process, store or transmit sensitive or critical AI data, is maintained."
474,Domain 7 Third party risk management,7.2 Third-party management,7.2.2 Due diligence,Intermediate,"Regular security assessments or audits of the service provider are conducted on a risk-based approach to ensure its controls remain effective in safeguarding data and ensure the service provider’s ability to support incident response, disaster recovery, and resiliency efforts."
475,Domain 7 Third party risk management,7.2 Third-party management,7.2.2 Due diligence,Advanced,"Aside from performing regular assessments or audits of the service provider, procedures are in place to regularly evaluate the cybersecurity posture of subcontractors (i.e. contractor of third-party service providers of AI), particularly those supporting critical functions and services."
476,Domain 7 Third party risk management,7.3 Ongoing monitoring of third-party risk,7.3 Ongoing monitoring of third-party risk,Baseline,"The cybersecurity assessments of third parties that are network-connected and process, store or transmit sensitive or critical AI data are updated and reviewed regularly."
477,Domain 7 Third party risk management,7.3 Ongoing monitoring of third-party risk,7.3 Ongoing monitoring of third-party risk,Baseline,"Ongoing monitoring practices include reviewing the cyber resilience plans of third parties that are network-connected and process, store or transmit sensitive or critical AI data."
478,Domain 7 Third party risk management,7.3 Ongoing monitoring of third-party risk,7.3 Ongoing monitoring of third-party risk,Baseline,"A formal programme is in place that assigns responsibility for ongoing oversight of the access of third parties that are network-connected and process, store or transmit sensitive or critical AI data."
479,Domain 7 Third party risk management,7.3 Ongoing monitoring of third-party risk,7.3 Ongoing monitoring of third-party risk,Intermediate,"Monitoring of third parties that are network-connected and process, store or transmit sensitive or critical AI data is scaled, in terms of depth and frequency, according to the risk of the third parties"
480,Domain 7 Third party risk management,7.3 Ongoing monitoring of third-party risk,7.3 Ongoing monitoring of third-party risk,Intermediate,Controls are in place to identify when required third-party information needs to be obtained or analysed.
481,Domain 7 Third party risk management,7.3 Ongoing monitoring of third-party risk,7.3 Ongoing monitoring of third-party risk,Advanced,"Periodic on-site assessments or review of auditor reports (e.g. SSAE 16 Type II, SOC 2) of third parties that are network-connected and process, store or transmit sensitive or critical AI data, are conducted to ensure appropriate cybersecurity controls are in place using a risk-based approach."
482,Domain 7 Third party risk management,7.3 Ongoing monitoring of third-party risk,7.3 Ongoing monitoring of third-party risk,Advanced,Third-party employee access to sensitive or critical AI data on both AI-hosted and third-party hosted systems is tracked actively based on the principles of least privilege.
